"id";"title";"type";"start";"end";"created"
"a30e5a1e-4dd0-4bc1-abf0-7e1938aba053";"Neujahrstag";"Feiertag";"2026-01-01";"2026-01-01";"2025-03-05"
"9e2d7615-267e-4f8a-8256-879808cf86fd";"Berchtoldstag";"Feiertag";"2026-01-02";"2026-01-02";"2025-03-05"
"f91110fd-92a0-4172-9ba8-700269635230";"Karfreitag";"Feiertag";"2026-04-03";"2026-04-03";"2025-03-05"
"f6ddc325-bbb2-4ade-acc3-b1e04ee979c4";"Ostern";"Feiertag";"2026-04-05";"2026-04-05";"2025-03-05"
"a3a08fe3-298c-4045-82ba-8f66daa3878a";"Ostermontag";"Feiertag";"2026-04-06";"2026-04-06";"2025-03-05"
"afbdb914-fa5a-4717-ad3d-fb099337faed";"Tag der Arbeit (ZH, GR)";"Feiertag";"2026-05-01";"2026-05-01";"2025-03-05"
"c6bc0241-981d-442e-bff4-e22d9a66e80c";"Auffahrt";"Feiertag";"2026-05-14";"2026-05-14";"2025-03-05"
"26af2b4c-0b73-4234-842c-d8501e428e88";"Pfingsten";"Feiertag";"2026-05-24";"2026-05-24";"2025-03-05"
"97c48b30-e905-4fa2-a113-adb0c6c01892";"Pfingstmontag";"Feiertag";"2026-05-25";"2026-05-25";"2025-03-05"
"39ecba9d-80b9-438b-9b19-44d38c9e99ec";"Bundesfeier";"Feiertag";"2026-08-01";"2026-08-01";"2025-03-05"
"83c45d90-76f0-4d1f-8a19-233a505a432a";"Allerheiligen (SG, BE)";"Feiertag";"2026-11-01";"2026-11-01";"2025-03-05"
"68154db8-c35a-4374-900f-dfba8cbc5e41";"Weihnachtstag";"Feiertag";"2026-12-25";"2026-12-25";"2025-03-05"
"1cb5778d-7eb7-4377-9448-95c02bdb209a";"Stephanstag";"Feiertag";"2026-12-26";"2026-12-26";"2025-03-05"
