"id";"title";"type";"start";"end";"created"
"1";"Patching";"Patch wave 1";"2024-01-01 01:00";"2024-01-05 23:00";"2024-11-11 15:15"
"2";"Patching";"Patch wave 2";"2024-01-08 01:00";"2024-01-12 23:00";"2024-11-11 15:15"
"3";"Patching";"Patch wave 1";"2024-02-05 01:00";"2024-02-09 23:00";"2024-11-11 15:15"
"4";"Patching";"Patch wave 2";"2024-02-12 01:00";"2024-02-16 23:00";"2024-11-11 15:15"
"5";"Patching";"Patch wave 1";"2024-03-04 01:00";"2024-03-08 23:00";"2024-11-11 15:15"
"6";"Patching";"Patch wave 2";"2024-03-11 01:00";"2024-03-15 23:00";"2024-11-11 15:15"
"7";"Patching";"Patch wave 1";"2024-04-01 01:00";"2024-04-05 23:00";"2024-11-11 15:15"
"8";"Patching";"Patch wave 2";"2024-04-08 01:00";"2024-04-12 23:00";"2024-11-11 15:15"
"9";"Patching";"Patch wave 1";"2024-05-06 01:00";"2024-05-10 23:00";"2024-11-11 15:15"
"10";"Patching";"Patch wave 2";"2024-05-13 01:00";"2024-05-17 23:00";"2024-11-11 15:15"
"11";"Patching";"Patch wave 1";"2024-06-03 01:00";"2024-06-07 23:00";"2024-11-11 15:15"
"12";"Patching";"Patch wave 2";"2024-06-10 01:00";"2024-06-14 23:00";"2024-11-11 15:15"
"13";"Patching";"Patch wave 1";"2024-07-01 01:00";"2024-07-05 23:00";"2024-11-11 15:15"
"14";"Patching";"Patch wave 2";"2024-07-08 01:00";"2024-07-12 23:00";"2024-11-11 15:15"
"15";"Patching";"Patch wave 1";"2024-08-05 01:00";"2024-08-09 23:00";"2024-11-11 15:15"
"16";"Patching";"Patch wave 2";"2024-08-12 01:00";"2024-08-16 23:00";"2024-11-11 15:15"
"17";"Patching";"Patch wave 1";"2024-09-02 01:00";"2024-09-06 23:00";"2024-11-11 15:15"
"18";"Patching";"Patch wave 2";"2024-09-09 01:00";"2024-09-13 23:00";"2024-11-11 15:15"
"19";"Patching";"Patch wave 1";"2024-10-07 01:00";"2024-10-11 23:00";"2024-11-11 15:15"
"20";"Patching";"Patch wave 2";"2024-10-14 01:00";"2024-10-18 23:00";"2024-11-11 15:15"
"21";"Patching";"Patch wave 1";"2024-11-04 01:00";"2024-11-08 23:00";"2024-11-11 15:15"
"22";"Patching";"Patch wave 2";"2024-11-11 01:00";"2024-11-15 23:00";"2024-11-11 15:15"
"23";"Patching";"Patch wave 1";"2024-12-02 01:00";"2024-12-06 23:00";"2024-11-11 15:15"
"24";"Patching";"Patch wave 2";"2024-12-09 01:00";"2024-12-13 23:00";"2024-11-11 15:15"
