"id";"title";"type";"start";"end";"created"
"039775b7-2f94-433e-a22e-9617f38acbaa";"Neujahrstag";"Feiertag";"2025-01-01";"2025-01-01";"2024-10-02"
"1e723190-597f-44cf-8f9a-4f9246b6c320";"Berchtoldstag";"Feiertag";"2025-01-02";"2025-01-02";"2024-10-02"
"f46eb6b9-88b0-4eae-acf4-002e15235928";"Karfreitag";"Feiertag";"2025-04-18";"2025-04-18";"2024-10-02"
"cb7033ac-a04d-401b-9c0b-7ed5773e6038";"Ostern";"Feiertag";"2025-04-20";"2025-04-20";"2024-10-02"
"5d486815-d000-4f3b-8d21-b70b2e24f6eb";"Ostermontag";"Feiertag";"2025-04-21";"2025-04-21";"2024-10-02"
"b4e17cf6-aaf4-408e-891a-a9314bba1b4b";"Tag der Arbeit (ZH, GR)";"Feiertag";"2025-05-01";"2025-05-01";"2024-10-02"
"ca8c8266-9161-44c6-a96c-cef9df5cd789";"Auffahrt";"Feiertag";"2025-05-29";"2025-05-29";"2024-10-02"
"d9e583f7-f243-4bef-888a-eb116cfd1215";"Pfingsten";"Feiertag";"2025-06-08";"2025-06-08";"2024-10-02"
"59a5e3d0-3efd-457e-b438-0bbc11fd33e5";"Pfingstmontag";"Feiertag";"2025-06-09";"2025-06-09";"2024-10-02"
"64c5ae90-e5e9-47ab-92ed-034afcbd2d34";"Bundesfeier";"Feiertag";"2025-08-01";"2025-08-01";"2024-10-02"
"01904bd4-d8b6-42ee-a344-2f2d4e6457c1";"Allerheiligen (SG, BE)";"Feiertag";"2025-11-01";"2025-11-01";"2024-10-02"
"ea43460f-0213-485c-aa0b-58981fcf01d6";"Weihnachtstag";"Feiertag";"2025-12-25";"2025-12-25";"2024-10-02"
"ce736864-1deb-4aac-8aa7-e58dda7bffae";"Stephanstag";"Feiertag";"2025-12-26";"2025-12-26";"2024-10-02"
