"id";"title";"type";"start";"end";"created"
"b2b8c932-9f73-49f3-aaad-d1f328f267f7";"Neujahrstag";"Feiertag";"2024-01-01";"2024-01-01";"2024-10-02"
"02442551-4ee3-4fc9-9691-4d58542324d6";"Berchtoldstag";"Feiertag";"2024-01-02";"2024-01-02";"2024-10-02"
"b215d00c-a853-4558-9250-aa6d420f30d3";"Karfreitag";"Feiertag";"2024-03-29";"2024-03-29";"2024-10-02"
"157f9976-768a-4083-b896-660c913127b3";"Ostern";"Feiertag";"2024-03-31";"2024-03-31";"2024-10-02"
"c8492ad5-1532-45ef-a70b-38ce814002a4";"Ostermontag";"Feiertag";"2024-04-01";"2024-04-01";"2024-10-02"
"dea6da39-3b46-4f67-9e89-afd74bb03828";"Tag der Arbeit (ZH, GR)";"Feiertag";"2024-05-01";"2024-05-01";"2024-10-02"
"b17e89d8-2654-4d7d-a141-e119e10b91bc";"Auffahrt";"Feiertag";"2024-05-09";"2024-05-09";"2024-10-02"
"8d507083-2f59-4e7d-9d59-95a917d3f782";"Pfingsten";"Feiertag";"2024-05-19";"2024-05-19";"2024-10-02"
"59cfd223-5f5a-4671-a65c-d5656bfb1a98";"Pfingstmontag";"Feiertag";"2024-05-20";"2024-05-20";"2024-10-02"
"56bd7016-7bfb-4766-a6cf-84f15d5d2f8e";"Bundesfeier";"Feiertag";"2024-08-01";"2024-08-01";"2024-10-02"
"9738af25-bc5a-4bec-aa88-99007c920b4a";"Allerheiligen (SG, BE)";"Feiertag";"2024-11-01";"2024-11-01";"2024-10-02"
"25dea687-efcd-43d5-8ac7-8c24b6630320";"Weihnachtstag";"Feiertag";"2024-12-25";"2024-12-25";"2024-10-02"
"6c951e6b-db2f-4bea-8153-a4aabb159179";"Stephanstag";"Feiertag";"2024-12-26";"2024-12-26";"2024-10-02"
